序号,日期,年份,检测年龄,性别,置信度,相机,来源,分类,原图路径,人脸缩略图
1,2000-01-01,2000,37,0,0.883,K800i,01_Personal,人物,E:\待整理照片\我的图片\相册\朋友\DSC00007.JPG,13417_0.jpg
2,2002-12-08,2002,26,1,0.894,MiOne,01_Personal,旅行,E:\待整理照片\我的图片\相册\我的图片\IMG_20130219_115755.jpg,11404_1.jpg
3,2002-12-08,2002,54,0,0.865,MiOne,01_Personal,旅行,E:\待整理照片\我的图片\相册\我的图片\IMG_20130219_182328.jpg,11418_1.jpg
4,2002-12-08,2002,31,0,0.795,MiOne,01_Personal,旅行,E:\待整理照片\我的图片\相册\我的图片\IMG_20130219_182551.jpg,11422_0.jpg
5,2005-01-01,2005,55,1,0.902,KODAK Z7590 ZOOM DIGITAL CAMERA,02_Work,工作,E:\待整理照片\我的图片\相册\照片\100_3770.JPG,13823_0.jpg
6,2005-01-01,2005,56,1,0.900,KODAK Z7590 ZOOM DIGITAL CAMERA,02_Work,工作,E:\待整理照片\我的图片\相册\照片\100_3771.JPG,13824_0.jpg
7,2005-01-05,2005,35,0,0.644,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,旅行,E:\待整理照片\我的图片\相册\照片\100_2496.JPG,13704_4.jpg
8,2005-01-05,2005,50,0,0.847,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,人物,E:\待整理照片\我的图片\相册\照片\100_2518.JPG,13716_0.jpg
9,2005-01-05,2005,65,1,0.560,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,旅行,E:\待整理照片\我的图片\相册\照片\100_2519.JPG,13717_1.jpg
10,2005-01-05,2005,79,1,0.894,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,人物,E:\待整理照片\我的图片\相册\照片\100_2521.JPG,13719_0.jpg
11,2005-01-05,2005,43,0,0.828,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,人物,E:\待整理照片\我的图片\相册\照片\100_2531.JPG,13729_1.jpg
12,2005-01-06,2005,25,1,0.784,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,旅行,E:\待整理照片\我的图片\相册\照片\100_2568.JPG,13766_1.jpg
13,2005-01-06,2005,28,0,0.907,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,旅行,E:\待整理照片\我的图片\相册\照片\100_2581.JPG,13778_0.jpg
14,2005-01-06,2005,24,1,0.902,KODAK Z7590 ZOOM DIGITAL CAMERA,01_Personal,旅行,E:\待整理照片\我的图片\相册\照片\100_2583.JPG,13780_1.jpg
15,2005-09-11,2005,31,0,0.913,FinePix S3Pro  ,01_Personal,人物,E:\待整理照片\我的图片\相册\2005.09.11\2005.09.11皓皓一周岁\DSCF1297.JPG,15338_0.jpg
